Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1063.400024,1082.500000,1063.199951,1075.099976,1075.099976,143
2016-01-05,1075.599976,1081.500000,1075.300049,1078.400024,1078.400024,82
2016-01-06,1081.599976,1093.699951,1081.599976,1091.900024,1091.900024,52
2016-01-07,1091.599976,1109.400024,1091.599976,1107.699951,1107.699951,122
2016-01-08,1111.099976,1111.099976,1093.000000,1097.800049,1097.800049,98
2016-01-11,1105.699951,1107.900024,1096.500000,1096.500000,1096.500000,43
2016-01-12,1093.800049,1098.500000,1084.000000,1085.599976,1085.599976,87
2016-01-13,1081.500000,1093.900024,1081.500000,1087.500000,1087.500000,50
2016-01-14,1091.500000,1091.500000,1073.699951,1073.900024,1073.900024,59
2016-01-15,1085.000000,1095.800049,1081.800049,1091.500000,1091.500000,44
2016-01-18,null,null,null,null,null,null
2016-01-19,1089.800049,1094.400024,1084.900024,1089.900024,1089.900024,17
2016-01-20,1099.800049,1109.800049,1099.800049,1107.099976,1107.099976,30
2016-01-21,1103.599976,1103.599976,1094.099976,1099.099976,1099.099976,16
2016-01-22,1098.000000,1103.199951,1097.199951,1097.199951,1097.199951,4
2016-01-25,1099.300049,1109.300049,1099.300049,1106.199951,1106.199951,8
2016-01-26,1115.099976,1121.699951,1114.300049,1121.699951,1121.699951,181
2016-01-27,1117.800049,1117.800049,1115.800049,1116.099976,1116.099976,168706
2016-01-28,1125.400024,1125.699951,1109.800049,1115.599976,1115.599976,52861
2016-01-29,1114.400024,1118.599976,1108.800049,1116.400024,1116.400024,6955
2016-02-01,1116.699951,1130.000000,1115.300049,1127.900024,1127.900024,1682
2016-02-02,1128.300049,1131.400024,1123.000000,1127.300049,1127.300049,1230
2016-02-03,1128.500000,1146.000000,1125.000000,1141.300049,1141.300049,1630
2016-02-04,1142.500000,1157.599976,1141.000000,1157.599976,1157.599976,771
2016-02-05,1155.599976,1174.800049,1146.000000,1157.800049,1157.800049,877
2016-02-08,1173.500000,1200.400024,1165.000000,1197.900024,1197.900024,931
2016-02-09,1188.699951,1199.199951,1186.699951,1198.699951,1198.699951,700
2016-02-10,1189.800049,1197.699951,1182.099976,1194.699951,1194.699951,671
2016-02-11,1205.599976,1260.800049,1204.599976,1247.900024,1247.900024,995
2016-02-12,1247.800049,1247.800049,1233.500000,1239.099976,1239.099976,250
2016-02-15,null,null,null,null,null,null
2016-02-16,1233.099976,1233.599976,1193.599976,1207.900024,1207.900024,422
2016-02-17,1196.500000,1212.900024,1196.500000,1211.099976,1211.099976,53
2016-02-18,1209.599976,1239.199951,1201.599976,1226.099976,1226.099976,315
2016-02-19,1230.800049,1232.800049,1221.800049,1230.400024,1230.400024,76
2016-02-22,1226.099976,1226.099976,1203.000000,1209.500000,1209.500000,280
2016-02-23,1207.400024,1226.099976,1207.400024,1222.300049,1222.300049,351
2016-02-24,1230.000000,1250.099976,1230.000000,1238.699951,1238.699951,111
2016-02-25,1239.400024,1241.500000,1235.000000,1238.199951,1238.199951,1349
2016-02-26,1232.400024,1239.099976,1212.199951,1219.800049,1219.800049,656
